REPORTING_DATE,PARTNER_ID,LOAN_ID,PRODUCT,STATUS,EXPOSURE_DRAWN,EXPOSURE_UNDRAWN,EXPOSURE,EAD,EAD_COLL,PD,LGD,SIZE,MATURITY,F_LARGE_FIN,RW,RWA
2022-12-31,abeft986pa1720,4878373984iayq23,REVOLVING,Performing,258567.4156,0.0,258567.4156,262183.0744,262183.0744,0.0789972,0.0,0.389256147,1.0,N,0.0,0.0
2022-12-31,phzlp409nc5634,6294186548rcvq32,CREDIT_CARD,Performing,9893.022504,9337.698329,19230.72083,13763.31428,0.0,0.0475288,0.7026,2.81819611,1.50136986,N,1.679740119,23118.79117
2022-12-31,oxnbw707oz9266,7354185021jdnl86,REVOLVING,Performing,33530.98382,14363.31795,47894.30176,42103.57692,0.0,0.694435,0.631,0.473917054,1.0,N,1.929866002,81254.26167
2022-12-31,jsnsi859cs9040,5514274091jyiw14,REVOLVING,Performing,38000.5611,0.0,38000.5611,38531.99428,0.0,0.0398659,0.631,1.164547649,1.89589041,N,1.477821513,56943.41009
2022-12-31,krcdl756rg7058,5644804240bsqz60,REVOLVING,Performing,431182.4958,0.0,431182.4958,437215.0894,364328.6431,0.0154508,0.105191584,4.688097983,1.0,N,0.168098619,73495.25263
2022-12-31,bpmuk669qo3126,3802512485vjga88,CREDIT_CARD,Performing,0.0,5745.327179,5745.327179,2360.754938,0.0,0.0072848,0.549,1.791682552,1.83287671,N,0.749154645,1768.570527
2022-12-31,vasdo640ot2722,3225482138bsvt19,CREDIT_CARD,Performing,0.0,3745.627752,3745.627752,1530.832851,0.0,0.0037279,0.549,80.07725957,1.0,N,0.571636081,875.0792924
2022-12-31,jvgmy766vg6359,7980158005rxyl53,CREDIT_CARD,Performing,1813.234833,2047.127103,3860.361936,2659.703462,0.0,0.0163632,0.549,1.273594579,1.0,N,0.894656768,2379.521702
2022-12-31,lrzge497hg6347,8809551246hnms79,CREDIT_CARD,Performing,2389.424121,2428.837065,4818.261186,3395.067039,0.0,0.0114331,0.549,2.017598351,1.0,N,0.784848362,2664.612804
2022-12-31,vqhfh429lc4377,7697013885lrzk14,DEBIT_CARD,Performing,160276.4922,31389.85358,191666.3458,179021.8191,0.0,0.091036,0.5003,0.823603429,2.5,N,1.660436327,297254.3317
2022-12-31,cevdl406ln3489,9012153646nksm63,REVOLVING,Performing,176961.5926,0.0,176961.5926,179437.551,0.0,0.0143542,0.631,2.515441326,1.0,N,0.982627433,176320.2602
2022-12-31,yausg666ai2127,4860534184nsuj63,CREDIT_CARD,Performing,0.0,3830.21812,3830.21812,1612.521828,0.0,0.00712,0.549,1.655028797,1.83013699,N,0.741504469,1195.692142
2022-12-31,spzeh842eg6439,2029354933vfst84,CREDIT_CARD,Performing,0.0,9364.069381,9364.069381,3847.69349,0.0,0.002489,0.549,1.966525744,1.0,N,0.352475816,1356.218904
2022-12-31,srprn654yh8351,1045595482bajf53,CREDIT_CARD,Performing,1218.794557,3583.485044,4802.279601,2700.524012,0.0,0.0018859,0.549,1.217920826,1.08493151,N,0.302151122,815.96636
2022-12-31,ihkte595ap5275,5243056986javk68,CREDIT_CARD,Performing,3619.134799,3898.3577,7517.492499,5232.154556,0.0,0.0014595,0.7026,59.41815661,1.0,N,0.402412463,2105.484204
2022-12-31,dpgqv822tb6547,4310804909knnl16,CREDIT_CARD,Performing,1077.919134,4545.109181,5623.028315,3010.51314,0.0,0.0090428,0.549,79.95164853,1.83835616,N,1.042888611,3139.629866
2022-12-31,spplx258bo3582,5510602345epcb42,DEBIT_CARD,Performing,0.0,191510.906,191510.906,106843.9344,0.009575545,0.0184322,0.500299955,1.709782327,2.5,N,1.022336603,109230.465
2022-12-31,yzcpp539oq6613,3150030738hdne24,REVOLVING,Performing,286516.9002,0.0,286516.9002,290525.0319,112668.9493,0.0332699,0.386290942,8.992001077,3.75342466,N,1.045895712,303858.8851
2022-12-31,qmhqw415pf5285,4425056418eyiu44,REVOLVING,Performing,486462.8466,7491.255505,493954.1021,495024.1022,337139.4184,0.0161654,0.201253303,1.830792212,1.0,N,0.326619741,161684.6442
2022-12-31,pdhet198bk8663,3630634616tzss12,CREDIT_CARD,Performing,862.1437966,37448.32982,38310.47362,16256.24047,0.0,0.0083395,0.549,0.970839795,1.0,N,0.686505422,11159.99722
2022-12-31,wmmmg607ej8014,8316427331rjcw97,CREDIT_CARD,Performing,891.1002455,4828.133573,5719.233819,1340.336953,0.0,0.37152,0.549,12.88456252,1.0,N,2.603027224,3488.933579
2022-12-31,euseh969gb1442,4085500289audb72,INVESTMENT,Performing,843500.9663,0.0,843500.9663,855303.1994,855303.1994,0.0113633,0.0,4.79116344,5.0,N,0.0,0.0
